Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000550
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Pressure [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.250;21.625;56.366;1010.380;9.6;66561
$;00:00:03;06:44:24;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.250;21.625;56.389;1010.270;9.5;66609
$;00:00:05;06:44:26;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.625;56.412;1010.400;9.5;66609
$;00:00:07;06:44:28;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.0;21.625;56.595;1010.299;9.5;66609
$;00:00:09;06:44:30;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.625;56.686;1010.419;9.5;66609
$;00:00:11;06:44:32;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.750;56.664;1010.210;9.5;66609
$;00:00:13;06:44:34;16.09.2020;Y;05;51 45.95439 N;014 19.37920 E;0.053;0.0;;75.5;22.125;21.500;56.587;1010.549;9.5;66679
$;00:00:15;06:44:36;16.09.2020;Y;05;51 45.95426 N;014 19.37914 E;0.603;1.1;225.08;76.6;22.125;21.625;56.335;1010.280;9.5;66679
$;00:00:17;06:44:38;16.09.2020;Y;05;51 45.95421 N;014 19.37858 E;0.435;0.8;;78.4;22.250;21.625;56.465;1010.359;9.5;66673
$;00:00:19;06:44:40;16.09.2020;Y;05;51 45.95436 N;014 19.37801 E;0.455;0.8;;79.4;22.375;21.625;56.419;1010.409;9.5;66673
$;00:00:21;06:44:42;16.09.2020;Y;05;51 45.95429 N;014 19.37770 E;0.266;0.4;;79.9;22.250;21.750;56.404;1010.320;9.5;66673
$;00:00:23;06:44:44;16.09.2020;Y;05;51 45.95440 N;014 19.37769 E;0.152;0.2;;79.8;22.375;21.625;56.343;1010.260;9.5;66673
$;00:00:25;06:44:46;16.09.2020;Y;05;51 45.95484 N;014 19.37797 E;0.086;0.1;;78.2;22.375;21.500;56.351;1010.280;9.5;66673
$;00:00:27;06:44:48;16.09.2020;Y;05;51 45.95502 N;014 19.37806 E;0.010;0.0;;77.7;22.375;21.625;56.358;1010.320;9.5;66679
